date,open,high,low,close,volume
2024-02-29,25.3900,26.8100,24.3996,24.6500,3493562
2024-01-31,26.2400,28.0299,24.7300,25.4500,3189189
2023-12-29,27.2900,29.2628,26.7000,27.4100,2046399
2023-11-30,23.3800,27.9106,23.1800,27.2300,3083357
2023-10-31,23.5800,25.8151,22.3100,23.3300,2112888
2023-09-29,27.8000,27.8600,22.8500,23.5700,3895268
2023-08-31,29.5600,29.5644,24.1000,27.4400,4444332
2023-07-31,29.0800,29.9600,27.4662,29.5500,2846291
2023-06-30,25.8500,29.2200,25.7200,29.1200,3038123
2023-05-31,24.1400,26.1800,23.0789,25.7800,2281637
2023-04-28,23.1500,24.2200,22.1910,24.2200,1800091
2023-03-31,19.7700,23.3200,19.2200,23.3100,2751435
2023-02-28,19.3000,22.0015,18.8000,19.9200,2243390
2023-01-31,16.7600,19.9371,15.5500,19.3700,1827685
2022-12-30,20.6300,21.1000,15.9000,16.6500,1718528
2022-11-30,22.2500,22.2766,17.9500,20.5800,1480898
2022-10-31,18.8800,22.7500,18.0800,21.8900,1322876
2022-09-30,23.0400,24.6500,18.8700,18.9600,1250986
