symbol,name,exchange,assetType,ipoDate,delistingDate,status
NA,Nano Labs Ltd,NASDAQ,Stock,2022-07-12,null,Active
NAACU,North Atlantic Acquisition Corp - Units (1 Ord Share Class A & 1/3 War),NASDAQ,Stock,2021-01-22,null,Active
NAAS,Naas Technology Inc,NASDAQ,Stock,2017-10-20,null,Active
NABL,N-able Inc,NYSE,Stock,2021-07-19,null,Active
NAC,Nuveen California Quality Municipal Income Fund,NYSE,ETF,1999-05-26,null,Active
NACP,IMPACT SHARES NAACP MINORITY EMPOWERMENT ETF ,NYSE ARCA,ETF,2018-07-19,null,Active
NAD,Nuveen Quality Municipal Income Fund,NYSE,ETF,1999-05-26,null,Active
NAII,Natural Alternatives International Inc,NASDAQ,Stock,1993-10-28,null,Active
NAIL,DIREXION DAILY HOMEBUILDERS & SUPPLIES BULL 3X SHARES ,NYSE ARCA,ETF,2015-08-19,null,Active
NAK,Northern Dynasty Minerals Ltd,NYSE MKT,Stock,2003-10-09,null,Active
NAMS,NewAmsterdam Pharma Company NV,NASDAQ,Stock,2022-11-23,null,Active
NAMSW,NewAmsterdam Pharma Company NV - Warrants (15/11/2027),NASDAQ,Stock,2022-11-23,null,Active
NAN,Nuveen New York Quality Municipal Income Fund,NYSE,ETF,1999-05-26,null,Active
NANC,UNUSUAL WHALES SUBVERSIVE DEMOCRATIC TRADING ETF ,BATS,ETF,2023-02-07,null,Active
NANR,SPDR S&P NORTH AMERICAN NATURAL RESOURCES ETF ,NYSE ARCA,ETF,2015-12-16,null,Active
NAOV,NanoVibronix Inc,NASDAQ,Stock,2017-06-13,null,Active
NAPA,Duckhorn Portfolio Inc (The),NYSE,Stock,2021-03-18,null,Active
NAPR,Innovator Growth-100 Power Buffer ETF - April,BATS,ETF,2020-04-01,null,Active
NARI,Inari Medical Inc,NASDAQ,Stock,2020-05-22,null,Active
NAT,Nordic American Tankers Ltd,NYSE,Stock,1997-09-30,null,Active
NATH,Nathan`s Famous Inc,NASDAQ,Stock,1993-02-26,null,Active
NATL,National Interstate Corp,NASDAQ,Stock,2005-01-27,null,Active
NATL-W,NCR Atleos Corporation WhenIssued,NYSE,Stock,2023-10-11,null,Active
NATR,Nature`s Sunshine Products Inc,NASDAQ,Stock,2009-06-25,null,Active
NAUT,Nautilus Biotechnology Inc,NASDAQ,Stock,2021-06-10,null,Active
NAVI,Navient Corp,NASDAQ,Stock,2014-04-17,null,Active
NAZ,Nuveen Arizona Quality Municipal Income Fund,NYSE,ETF,1994-10-27,null,Active
NB,NioCorp Developments Ltd,NASDAQ,Stock,2016-01-04,null,Active
NBB,Nuveen Taxable Municipal Income Fund,NYSE,ETF,2010-04-28,null,Active
NBBK,NB Bancorp Inc,NASDAQ,Stock,2023-12-28,null,Active
NBCC,NEUBERGER BERMAN NEXT GENERATION CONNECTED CONSUMER ETF ,NYSE ARCA,ETF,2022-04-07,null,Active
NBCE,Neuberger Berman China Equity ETF,NYSE ARCA,ETF,2023-10-16,null,Active
NBCM,Commodity Strategy ETF,NYSE ARCA,ETF,2022-10-24,null,Active
NBCT,NEUBERGER BERMAN CARBON TRANSITION & INFRASTRUCTURE ETF ,NYSE ARCA,ETF,2022-04-07,null,Active
NBDS,NEUBERGER BERMAN DISRUPTERS ETF ,NYSE ARCA,ETF,2022-04-07,null,Active
NBGR,Neuberger Berman Global Real Estate ETF,NYSE ARCA,ETF,2023-10-16,null,Active
NBH,Neuberger Berman Municipal Fund Inc,NYSE MKT,ETF,2002-10-22,null,Active
NBHC,National Bank Holdings Corp - Class A,NYSE,Stock,2012-09-20,null,Active
NBIX,Neurocrine Biosciences Inc,NASDAQ,Stock,1996-05-23,null,Active
NBN,Northeast Bank,NASDAQ,Stock,1987-08-20,null,Active
NBO,Neuberger Berman New York Municipal Fund Inc,NYSE MKT,ETF,2002-09-26,null,Active
NBOS,Neuberger Berman Option Strategy ETF,NYSE ARCA,ETF,2024-01-29,null,Active
NBR,Nabors Industries Ltd,NYSE,Stock,1991-02-28,null,Active
NBSE,NeuBase Therapeutics Inc,NASDAQ,Stock,2007-05-01,null,Active
NBST,Newbury Street Acquisition Corp,NASDAQ,Stock,2021-04-30,null,Active
NBSTU,Newbury Street Acquisition Corp - Units (1 Ord & 1/2 War),NASDAQ,Stock,2021-03-23,null,Active
NBSTW,Newbury Street Acquisition Corp - Warrants (30/04/2028),NASDAQ,Stock,2021-05-18,null,Active
NBTB,NBT Bancorp. Inc,NASDAQ,Stock,1992-03-17,null,Active
NBTX,Nanobiotix,NASDAQ,Stock,2020-12-11,null,Active
NBW,Neuberger Berman California Municipal Fund Inc,NYSE MKT,ETF,2002-10-22,null,Active
NBXG,Neuberger Berman Next Generation Connectivity Fund Inc,NYSE,Stock,2021-05-26,null,Active
NBY,Novabay Pharmaceuticals Inc,NYSE MKT,Stock,2007-10-26,null,Active
NC,Nacco Industries Inc - Class A,NYSE,Stock,1977-06-17,null,Active
NCA,Nuveen California Municipal Value Fund.,NYSE,ETF,1987-10-07,null,Active
NCDL,Nuveen Churchill Direct Lending Corp,NYSE,Stock,2024-01-25,null,Active
NCL,Northann Corp,NYSE MKT,Stock,2023-10-19,null,Active
NCLH,Norwegian Cruise Line Holdings Ltd,NYSE,Stock,2013-01-18,null,Active
NCMI,National Cinemedia Inc,NASDAQ,Stock,2007-02-08,null,Active
NCNA,NuCana plc,NASDAQ,Stock,2017-09-28,null,Active
NCNC,noco-noco Inc,NASDAQ,Stock,2023-08-25,null,Active
NCNCW,noco-noco Inc - Warrants(25/08/2028),NASDAQ,Stock,2022-07-06,null,Active
NCNO,Ncino Inc,NASDAQ,Stock,2020-07-14,null,Active
NCPL,Netcapital Inc,NASDAQ,Stock,2017-09-22,null,Active
NCPLW,Netcapital Inc - Warrants(05/07/2027),NASDAQ,Stock,2022-07-13,null,Active
NCRA,Nocera Inc,NASDAQ,Stock,2017-11-08,null,Active
NCSM,NCS Multistage Holdings Inc,NASDAQ,Stock,2017-04-28,null,Active
NCTY,The9 Ltd,NASDAQ,Stock,2004-12-15,null,Active
NCV,Virtus Convertible & Income Fund,NYSE,ETF,2003-03-31,null,Active
NCV-P-A,Virtus Convertible & Income Fund,NYSE,Stock,2018-09-17,null,Active
NCZ,Virtus Convertible & Income Fund II,NYSE,ETF,2003-07-29,null,Active
NCZ-P-A,Virtus Convertible & Income Fund II,NYSE,Stock,2018-09-05,null,Active
NDAC,NightDragon Acquisition Corp - Class A,NASDAQ,Stock,2021-04-23,null,Active
NDACU,NightDragon Acquisition Corp - Units (1 Ord Share Class A & 1/5 War),NASDAQ,Stock,2021-03-02,null,Active
NDACW,NightDragon Acquisition Corp - Warrants (26/02/2026),NASDAQ,Stock,2021-04-22,null,Active
NDAQ,Nasdaq Inc - 144A,NASDAQ,Stock,2002-07-01,null,Active
NDIA,Global X India Active ETF,NYSE ARCA,ETF,2023-08-18,null,Active
NDIV,Amplify Natural Resources Dividend Income ETF,NYSE ARCA,ETF,2022-08-24,null,Active
NDLS,Noodles & Company - Class A,NASDAQ,Stock,2013-06-28,null,Active
NDMO,Nuveen Dynamic Municipal Opportunities Fund,NYSE,Stock,2020-08-27,null,Active
NDP,Tortoise Energy Independence Fund Inc,NYSE,ETF,2012-07-27,null,Active
NDRA,ENDRA Life Sciences Inc,NASDAQ,Stock,2017-06-30,null,Active
NDSN,Nordson Corp,NASDAQ,Stock,1990-03-26,null,Active
NDVG,Nuveen Dividend Growth ETF,NYSE ARCA,ETF,2021-08-05,null,Active
NE,Noble Corp Plc - Class A,NYSE,Stock,2021-06-09,null,Active
NE-WS,Noble Corporation plc Tranche 1 Warrants,NYSE,Stock,2023-06-29,null,Active
NE-WS-A,Noble Corporation plc Tranche 2 Warrants,NYSE,Stock,2023-06-29,null,Active
NEA,Nuveen AMT-Free Quality Municipal Income Fund,NYSE,ETF,2002-11-22,null,Active
NEAR,BLACKROCK SHORT DURATION BOND ETF ,BATS,ETF,2013-09-26,null,Active
NECB,NorthEast Community Bancorp Inc,NASDAQ,Stock,2006-07-06,null,Active
NEE,NextEra Energy Inc,NYSE,Stock,1983-06-10,null,Active
NEE-P-Q,NextEra Energy Inc. Corporate Units,NYSE,Stock,2015-09-18,null,Active
NEE-P-R,NextEra Energy Inc Corporate Units expiring 09012019,NYSE,Stock,2016-08-03,null,Active
NEEPN,NextEra Energy Capital Holdings Inc,NYSE,Stock,2019-03-18,null,Active
NEGG,Newegg Commerce Inc,NASDAQ,Stock,2010-04-22,null,Active
NEM,Newmont Corp,NYSE,Stock,1983-04-06,null,Active
NEN,New England Realty Associates LP,NYSE MKT,Stock,1995-08-18,null,Active
NEO,Neogenomics Inc,NASDAQ,Stock,2004-03-16,null,Active
NEOG,Neogen Corp,NASDAQ,Stock,1994-02-10,null,Active
NEON,Neonode Inc,NASDAQ,Stock,1992-03-03,null,Active
NEOV,NeoVolta Inc,NASDAQ,Stock,2020-05-20,null,Active
