Date,Open,High,Low,Close,Adj Close,Volume
2005-09-01,600.0,600.0,450.0,482.0,482.0,5058
2005-10-01,521.0,521.0,392.5,417.5,417.5,3714
2005-11-01,419.0,462.5,400.0,405.0,405.0,2086
2005-12-01,405.0,442.5,355.0,387.0,387.0,3380
2006-01-01,395.0,408.5,339.5,345.0,345.0,1394
2006-02-01,335.5,366.0,319.5,319.5,319.5,1920
2006-03-01,315.0,399.5,292.0,360.0,360.0,4374
2006-04-01,361.0,375.0,303.5,375.0,375.0,1622
2006-05-01,357.5,370.0,277.5,282.5,282.5,3936
2006-06-01,277.0,295.0,211.5,227.0,227.0,5078
2006-07-01,227.0,230.0,125.5,174.0,174.0,8480
2006-08-01,180.0,180.0,136.0,147.5,147.5,16582
2006-09-01,145.5,151.0,104.0,115.5,115.5,17364
2006-10-01,122.5,179.0,100.0,160.0,160.0,23366
2006-11-01,163.0,187.5,140.5,150.5,150.5,11100
2006-12-01,151.5,170.0,102.5,137.0,137.0,5120
2007-01-01,145.0,249.5,135.0,210.0,210.0,42472
2007-02-01,207.5,220.5,184.0,214.5,214.5,19732
2007-03-01,210.0,218.5,190.5,199.5,199.5,10574
2007-04-01,198.5,204.5,171.5,199.5,199.5,12304
2007-05-01,199.0,208.5,172.5,182.5,182.5,12804
2007-06-01,178.0,182.5,113.0,129.0,129.0,65898
2007-07-01,126.5,137.5,100.0,108.0,108.0,10058
2007-08-01,103.5,105.0,55.0,74.5,74.5,26576
2007-09-01,71.5,137.5,59.0,102.5,102.5,96800
2007-10-01,102.5,102.5,75.0,83.5,83.5,22902
2007-11-01,82.5,111.5,79.0,100.0,100.0,45918
2007-12-01,101.5,144.0,92.5,142.5,142.5,52158
2008-01-01,140.0,185.0,135.0,179.5,179.5,69498
2008-02-01,185.0,219.5,175.5,209.0,209.0,60958
2008-03-01,205.5,210.0,135.5,150.0,150.0,44720
2008-04-01,150.0,190.0,150.0,190.0,190.0,20942
2008-05-01,187.5,196.5,146.5,151.5,151.5,16882
2008-06-01,150.5,192.0,145.0,192.0,192.0,31936
2008-07-01,182.5,190.0,147.5,181.5,181.5,21422
2008-08-01,180.0,228.5,173.0,225.5,225.5,39638
2008-09-01,225.0,248.0,150.5,177.0,177.0,36074
2008-10-01,172.0,177.5,81.5,111.5,111.5,27398
2008-11-01,104.5,145.0,2.5,4.0,4.0,1093948
2008-12-01,4.5,5.5,2.0,2.5,2.5,559164
2009-01-01,2.5,7.0,2.5,4.5,4.5,342486
2009-02-01,4.5,5.5,3.5,4.0,4.0,97010
2009-03-01,4.0,10.0,2.5,7.0,7.0,189366
2009-04-01,7.0,8.0,2.5,3.5,3.5,249070
2009-05-01,4.0,16.0,3.0,13.5,13.5,268570
2009-06-01,14.5,15.0,11.0,11.0,11.0,31136
2009-07-01,11.0,11.0,8.0,8.5,8.5,17420
2009-08-01,8.0,9.5,8.0,8.0,8.0,14378
2009-09-01,8.0,9.5,7.0,7.5,7.5,12192
2009-10-01,7.5,7.5,6.0,6.5,6.5,10296
2009-11-01,6.5,9.0,6.5,7.5,7.5,9116
2009-12-01,6.5,7.5,4.5,5.0,5.0,15052
2010-01-01,5.5,7.5,4.5,6.5,6.5,7706
2010-02-01,6.5,7.0,6.0,6.5,6.5,3026
2010-03-01,6.5,6.5,5.0,5.5,5.5,8540
2010-04-01,5.5,6.5,5.5,5.5,5.5,3276
2010-05-01,5.5,5.5,3.0,3.0,3.0,18748
2010-06-01,3.0,4.5,3.0,4.5,4.5,1662
2010-07-01,4.5,8.0,3.5,7.0,7.0,10846
2010-08-01,7.0,10.0,6.0,6.0,6.0,11980
2010-09-01,6.5,14.0,5.5,13.0,13.0,22586
2010-10-01,13.0,14.0,7.0,10.5,10.5,3238
2010-11-01,8.0,13.0,6.0,13.0,13.0,12358
2010-12-01,13.0,24.0,11.5,23.5,23.5,45032
2011-01-01,24.5,27.0,16.0,22.5,22.5,17120
2011-02-01,22.5,22.5,14.0,14.0,14.0,2636
2011-03-01,14.0,22.0,11.5,21.0,21.0,12312
2011-04-01,18.5,19.0,11.0,19.0,19.0,6950
2011-05-01,19.0,19.0,14.0,14.0,14.0,374
2011-06-01,14.0,18.0,13.0,16.0,16.0,1218
2011-07-01,16.0,21.5,15.0,19.0,19.0,1536
2011-08-01,19.0,20.0,12.5,18.5,18.5,2120
2011-09-01,18.5,18.5,12.0,15.0,15.0,1480
2011-10-01,12.5,16.5,11.5,13.0,13.0,1642
2011-11-01,13.0,14.0,13.0,14.0,14.0,546
2011-12-01,14.0,22.0,7.5,19.0,19.0,34554
2012-01-01,19.0,20.5,13.5,17.5,17.5,34300
2012-02-01,17.5,22.5,14.5,21.5,21.5,86028
2012-03-01,22.5,36.5,21.0,26.0,26.0,90586
2012-04-01,25.0,31.5,19.0,30.5,30.5,30398
2012-05-01,30.5,34.5,29.0,30.5,30.5,32822
