Date,Open,High,Low,Close,Adj Close,Volume
1994-04-01,13.0,13.5,11.0,11.75,10.428544044494629,912800
1994-05-01,11.75,12.5,10.0,12.5,11.094191551208496,1752900
1994-06-01,13.0,14.0,10.5,10.5,9.319121360778809,388100
1994-07-01,11.25,14.0,10.0,14.0,12.42549991607666,305300
1994-08-01,14.0,14.0,11.5,12.0,10.650421142578125,63200
1994-09-01,11.5,13.75,10.75,13.0,11.537962913513184,741500
1994-10-01,13.75,15.25,12.75,14.75,13.091147422790527,398300
1994-11-01,14.25,14.25,10.75,11.5,10.206656455993652,777600
1994-12-01,11.5,11.5,10.0,10.5,9.319121360778809,1041500
1995-01-01,10.5,11.5,10.375,11.0,9.76289176940918,430600
1995-02-01,10.75,11.0,9.5,10.5,9.319121360778809,394500
1995-03-01,10.25,10.75,9.625,10.25,9.097246170043945,219300
1995-04-01,10.125,10.375,9.375,9.75,8.653472900390625,290900
1995-05-01,9.75,11.0,9.625,10.125,8.98630142211914,360500
1995-06-01,10.125,10.375,9.0,9.25,8.20970344543457,931500
1995-07-01,9.0,10.375,9.0,9.625,8.542531967163086,786300
1995-08-01,9.75,10.875,8.875,10.125,8.98630142211914,369900
1995-09-01,10.375,10.875,9.625,9.625,8.542531967163086,252800
1995-10-01,9.625,10.125,8.0,8.125,7.211223125457764,289500
1995-11-01,8.25,9.25,7.75,8.875,7.876876354217529,422900
1995-12-01,8.875,9.125,7.5,8.75,7.765933990478516,680400
1996-01-01,9.0,10.25,8.5,9.25,8.20970344543457,615900
1996-02-01,9.25,9.625,8.75,8.75,7.765933990478516,1021000
1996-03-01,9.125,10.875,8.75,10.625,9.43006706237793,975800
1996-04-01,10.25,15.0,10.125,14.25,12.647378921508789,2093200
1996-05-01,14.375,19.25,13.875,18.5,16.41940689086914,2928600
1996-06-01,18.375,28.625,17.5,27.875,24.74004554748535,7367100
1996-07-01,28.0,30.25,23.0,29.625,26.29323959350586,4777500
1996-08-01,29.875,30.25,22.75,24.5,21.74462127685547,5237400
1996-09-01,24.125,28.125,22.375,26.875,23.85251235961914,3940500
1996-10-01,26.875,29.75,24.5,25.0,22.188383102416992,2761400
1996-11-01,25.125,25.375,20.25,24.125,21.411802291870117,3681600
1996-12-01,24.5,26.625,20.25,25.375,22.52120590209961,2697200
1997-01-01,25.625,26.875,19.5,21.625,19.192955017089844,6639800
1997-02-01,21.625,22.125,17.625,19.125,16.974117279052734,4580600
1997-03-01,19.5,19.875,16.25,17.0,15.088099479675293,2343100
1997-04-01,17.0,17.125,13.5,15.5625,13.812274932861328,3768900
1997-05-01,15.5,18.0,13.5,16.625,14.755279541015625,3388200
1997-06-01,16.75,16.875,15.25,15.375,13.645859718322754,1142900
1997-07-01,15.375,18.875,15.25,17.25,15.309983253479004,2011200
1997-08-01,17.25,21.5,17.25,19.75,17.528827667236328,2485000
1997-09-01,20.0,20.0,15.5,16.5,14.644338607788086,1686700
1997-10-01,16.375,17.0,14.0,15.0,13.313032150268555,1903600
1997-11-01,15.0,15.625,13.0,14.0,12.42549991607666,988800
1997-12-01,13.875,16.625,12.125,15.5625,13.812274932861328,2378100
1998-01-01,15.375,17.25,15.375,16.375,14.533398628234863,1459300
1998-02-01,16.25,17.125,15.3125,16.625,14.755279541015625,1040600
1998-03-01,16.375,17.25,13.25,13.875,12.314558029174805,2175700
1998-04-01,13.75,16.625,13.75,14.625,12.980209350585938,1688200
1998-05-01,14.875,15.25,13.5,13.9375,12.370022773742676,1765800
1998-06-01,14.0,14.625,12.375,12.5,11.094191551208496,1487600
1998-07-01,12.75,13.0,10.0,11.375,10.095718383789062,1036600
1998-08-01,11.4375,11.4375,6.1875,6.25,5.547095775604248,1079900
1998-09-01,7.0,7.75,6.0,6.6875,5.935394763946533,1871000
1998-10-01,6.5,8.25,4.875,7.125,6.3236894607543945,2292900
1998-11-01,7.125,7.125,5.75,5.9375,5.269742012023926,898800
1998-12-01,6.0,6.0625,4.875,5.0,4.43767786026001,1919900
1999-01-01,5.125,7.75,5.0,7.375,6.545573711395264,2811400
1999-02-01,7.625,8.5,6.75,8.375,7.433109760284424,1036000
1999-03-01,8.0625,8.375,6.5,7.0,6.21274995803833,824000
1999-04-01,7.125,9.375,6.5625,8.3125,7.3776397705078125,1356600
1999-05-01,8.25,9.375,7.5,7.625,6.767457962036133,1316500
1999-06-01,7.625,7.625,6.5,6.625,5.8799238204956055,548500
1999-07-01,6.5,7.0,6.0,6.4375,5.713508605957031,1877300
1999-08-01,6.4375,6.5625,5.75,5.96875,5.297476768493652,658200
1999-09-01,5.8125,6.25,5.5,5.75,5.103328227996826,540600
1999-10-01,5.75,6.375,5.0,5.125,4.548623085021973,856100
1999-11-01,5.21875,5.6875,4.75,5.0625,4.49315071105957,1161000
1999-12-01,5.0,5.4375,4.125,4.75,4.215795040130615,1681000
2000-01-01,4.625,5.25,4.375,4.5,3.993910312652588,500300
2000-02-01,4.5,4.875,3.9375,4.5,3.993910312652588,1009000
2000-03-01,4.25,4.75,3.75,4.0,3.5501420497894287,806200
2000-04-01,3.75,5.375,3.75,4.75,4.215795040130615,1065200
2000-05-01,4.8125,5.0,4.03125,4.4375,3.9384381771087646,878100
2000-06-01,4.25,4.4375,3.5,3.5,3.106374979019165,792900
2000-07-01,3.375,4.0625,3.25,3.625,3.2173168659210205,256300
2000-08-01,3.5,4.0,3.375,3.375,2.9954323768615723,1035500
2000-09-01,3.375,3.625,2.5,2.5,2.218838930130005,506100
2000-10-01,2.5625,2.8125,1.625,2.125,1.8860124349594116,1846700
2000-11-01,2.0625,2.5,1.9375,2.375,2.1078975200653076,705200
2000-12-01,2.421875,2.5,1.9375,1.96875,1.747335433959961,1162700
2001-01-01,1.9375,2.5625,1.875,2.25,1.996955156326294,217000
2001-02-01,2.25,2.625,2.25,2.625,2.329780340194702,88600
2001-03-01,2.6875,3.1875,2.078125,2.3125,2.0524258613586426,190800
2001-04-01,2.375,2.940000057220459,2.0,2.549999952316284,2.263216257095337,504200
2001-05-01,2.5999999046325684,4.579999923706055,2.4600000381469727,4.03000020980835,3.576768159866333,959800
2001-06-01,4.019999980926514,4.269999980926514,3.3399999141693115,3.950000047683716,3.5057647228240967,502100
2001-07-01,3.950000047683716,4.159999847412109,3.2200000286102295,3.9200000762939453,3.4791393280029297,343600
2001-08-01,3.950000047683716,4.0,3.5,3.9800000190734863,3.532391309738159,201800
2001-09-01,3.9800000190734863,4.0,2.5199999809265137,3.2899999618530273,2.919992446899414,288900
2001-10-01,3.299999952316284,3.9700000286102295,3.049999952316284,3.4000000953674316,3.017620325088501,289800
2001-11-01,3.2699999809265137,3.9600000381469727,1.9700000286102295,2.549999952316284,2.263216257095337,963000
2001-12-01,2.3499999046325684,2.619999885559082,2.0299999713897705,2.549999952316284,2.263216257095337,478200
2002-01-01,2.549999952316284,3.9200000762939453,2.309999942779541,3.9200000762939453,3.4791393280029297,325500
2002-02-01,3.819999933242798,4.349999904632568,3.5299999713897705,4.0,3.5501420497894287,455700
2002-03-01,4.0,6.28000020980835,3.9000000953674316,6.050000190734863,5.369589805603027,744200
2002-04-01,6.050000190734863,6.199999809265137,4.989999771118164,5.349999904632568,4.748313903808594,632900
2002-05-01,5.5,5.840000152587891,5.059999942779541,5.409999847412109,4.801566123962402,240700
2002-06-01,5.5,6.150000095367432,4.849999904632568,6.0,5.3252105712890625,449600
2002-07-01,6.300000190734863,6.800000190734863,4.0,5.099999904632568,4.526432514190674,550700
2002-08-01,5.050000190734863,5.190000057220459,3.7100000381469727,4.0,3.5501420497894287,237700
2002-09-01,3.9000000953674316,4.039999961853027,2.759999990463257,2.819999933242798,2.5028505325317383,329400
2002-10-01,2.75,3.859999895095825,2.75,2.990000009536743,2.6537318229675293,121800
2002-11-01,3.049999952316284,4.150000095367432,2.7200000286102295,3.990000009536743,3.541267156600952,288400
2002-12-01,3.859999895095825,4.0,3.0299999713897705,3.200000047683716,2.8401124477386475,161500
2003-01-01,3.369999885559082,4.159999847412109,3.2200000286102295,3.819999933242798,3.390385627746582,103800
2003-02-01,3.5999999046325684,3.819999933242798,2.9000000953674316,3.309999942779541,2.9377431869506836,148700
2003-03-01,3.119999885559082,3.609999895095825,2.700000047683716,3.549999952316284,3.1507503986358643,109500
2003-04-01,3.559999942779541,3.8399999141693115,3.309999942779541,3.8399999141693115,3.4081363677978516,136700
2003-05-01,3.6500000953674316,4.0,3.2899999618530273,3.799999952316284,3.372633934020996,470000
2003-06-01,3.7200000286102295,4.449999809265137,3.509999990463257,4.090000152587891,3.6300203800201416,565800
2003-07-01,3.9000000953674316,4.480000019073486,3.6500000953674316,4.03000020980835,3.576768159866333,436000
2003-08-01,3.9600000381469727,4.150000095367432,3.799999952316284,4.130000114440918,3.665523052215576,177900
2003-09-01,4.050000190734863,4.909999847412109,3.950000047683716,4.349999904632568,3.8607804775238037,418800
2003-10-01,4.349999904632568,5.550000190734863,3.9000000953674316,5.119999885559082,4.544182300567627,358200
2003-11-01,4.989999771118164,6.170000076293945,4.769999980926514,5.539999961853027,4.916945457458496,347000
2003-12-01,5.699999809265137,8.5,5.25,8.210000038146973,7.286664962768555,956000
2004-01-01,8.449999809265137,8.5,7.150000095367432,7.989999771118164,7.0914082527160645,854000
2004-02-01,8.0,10.4399995803833,7.489999771118164,10.079999923706055,8.946358680725098,2607000
2004-03-01,10.100000381469727,14.399999618530273,9.949999809265137,14.0,12.42549991607666,3482700
2004-04-01,14.050000190734863,14.75,10.510000228881836,12.0,10.650421142578125,4527300
2004-05-01,12.050000190734863,14.449999809265137,10.800000190734863,14.199999809265137,12.603001594543457,3528200
2004-06-01,14.600000381469727,20.600000381469727,13.220000267028809,20.420000076293945,18.12347984313965,5689400
2004-07-01,20.399999618530273,24.0,16.56999969482422,23.520000457763672,20.874832153320312,5104200
2004-08-01,23.489999771118164,24.899999618530273,19.40999984741211,20.25,17.97260284423828,5827100
2004-09-01,20.09000015258789,24.040000915527344,16.850000381469727,18.899999618530273,16.774429321289062,6844600
2004-10-01,18.920000076293945,21.790000915527344,16.399999618530273,17.760000228881836,15.762632369995117,7052200
2004-11-01,18.100000381469727,27.18000030517578,16.65999984741211,27.0,23.963459014892578,6789800
2004-12-01,26.940000534057617,30.299999237060547,22.110000610351562,26.510000228881836,23.528566360473633,9925600
2005-01-01,26.389999389648438,26.690000534057617,21.719999313354492,23.510000228881836,20.86595344543457,6684600
2005-02-01,23.90999984741211,27.299999237060547,22.0,25.440000534057617,22.578907012939453,7117700
2005-03-01,25.31999969482422,25.809999465942383,17.65999984741211,17.8799991607666,15.86913013458252,11270800
2005-04-01,17.989999771118164,18.5,14.5,14.630000114440918,12.984642028808594,8438300
2005-05-01,14.5,18.09000015258789,13.25,15.699999809265137,13.934308052062988,9621200
2005-06-01,15.760000228881836,16.649999618530273,13.300000190734863,13.3100004196167,11.813100814819336,4486000
2005-07-01,13.350000381469727,16.3799991607666,13.069999694824219,16.0,14.200568199157715,4438900
2005-08-01,16.030000686645508,16.75,15.199999809265137,16.600000381469727,14.733089447021484,3550800
2005-09-01,16.5,18.399999618530273,16.5,17.469999313354492,15.505243301391602,2983200
2005-10-01,17.459999084472656,18.100000381469727,15.15999984741211,17.780000686645508,15.780375480651855,2771300
2005-11-01,17.68000030517578,21.239999771118164,17.6200008392334,21.200000762939453,18.815750122070312,3010500
2005-12-01,21.190000534057617,25.5,21.190000534057617,24.850000381469727,22.05526351928711,3101800
2006-01-01,24.889999389648438,32.0,23.18000030517578,30.829999923706055,27.36271095275879,4579700
2006-02-01,30.549999237060547,31.979999542236328,25.770000457763672,26.360000610351562,23.39543914794922,3986500
2006-03-01,26.399999618530273,31.540000915527344,24.610000610351562,30.18000030517578,26.815452575683594,4295300
2006-04-01,29.790000915527344,37.86000061035156,29.530000686645508,31.510000228881836,27.997177124023438,5057100
2006-05-01,31.049999237060547,35.650001525878906,28.43000030517578,33.31999969482422,29.605390548706055,5889400
2006-06-01,33.47999954223633,36.54999923706055,28.309999465942383,35.38999938964844,31.47344398498535,5290700
2006-07-01,35.380001068115234,39.4900016784668,33.0,35.16999816894531,31.277793884277344,4488300
2006-08-01,34.9900016784668,36.0,26.690000534057617,27.649999618530273,24.590017318725586,5378400
2006-09-01,27.969999313354492,28.139999389648438,23.760000228881836,24.860000610351562,22.108787536621094,3561700
2006-10-01,24.90999984741211,28.0,23.43000030517578,24.690000534057617,21.983413696289062,3673200
