Date,Open,High,Low,Close,Adj Close,Volume
2005-08-29,600.0,600.0,570.5,570.5,570.5,320
2005-09-05,562.0,587.5,528.0,528.0,528.0,728
2005-09-12,530.0,569.5,512.5,557.0,557.0,1246
2005-09-19,557.5,557.5,530.0,530.0,530.0,1872
2005-09-26,527.5,527.5,450.0,482.0,482.0,892
2005-10-03,521.0,521.0,443.5,462.5,462.5,494
2005-10-10,454.5,480.0,417.5,425.0,425.0,702
2005-10-17,444.0,444.0,399.0,439.0,439.0,2332
2005-10-24,434.5,444.0,392.5,417.5,417.5,186
2005-10-31,417.5,449.0,400.0,445.0,445.0,144
2005-11-07,450.5,462.5,426.5,445.0,445.0,1346
2005-11-14,452.5,452.5,416.0,430.0,430.0,258
2005-11-21,429.5,429.5,400.0,408.0,408.0,326
2005-11-28,404.5,405.0,390.0,392.5,392.5,66
2005-12-05,383.5,383.5,355.0,380.0,380.0,134
2005-12-12,415.5,431.0,390.5,414.0,414.0,668
2005-12-19,417.5,442.5,400.0,442.0,442.0,2264
2005-12-26,431.5,431.5,383.0,387.0,387.0,260
2006-01-02,395.0,408.5,382.5,386.5,386.5,366
2006-01-09,384.0,384.0,356.0,374.0,374.0,350
2006-01-16,374.5,384.0,355.5,355.5,355.5,172
2006-01-23,374.5,374.5,350.5,367.5,367.5,164
2006-01-30,374.5,374.5,335.0,350.0,350.0,1036
2006-02-06,346.0,361.5,334.0,361.5,361.5,426
2006-02-13,355.0,360.0,337.5,337.5,337.5,488
2006-02-20,321.0,329.5,320.0,320.0,320.0,84
2006-02-27,335.0,335.0,292.0,306.5,306.5,448
2006-03-06,327.5,391.0,321.0,369.0,369.0,1118
2006-03-13,377.5,399.5,377.5,387.5,387.5,382
2006-03-20,365.0,374.5,318.0,330.0,330.0,966
2006-03-27,325.0,384.5,325.0,360.0,360.0,1688
2006-04-03,361.0,371.0,356.0,356.0,356.0,724
2006-04-10,356.0,356.0,356.0,356.0,356.0,0
2006-04-17,356.0,356.0,326.0,330.0,330.0,72
2006-04-24,330.0,375.0,303.5,375.0,375.0,826
2006-05-01,357.5,370.0,353.5,365.0,365.0,116
2006-05-08,365.0,365.0,350.0,350.0,350.0,26
2006-05-15,333.5,340.0,320.0,322.5,322.5,536
2006-05-22,312.5,317.5,277.5,287.5,287.5,2426
2006-05-29,290.0,290.0,273.0,288.0,288.0,1226
2006-06-05,295.0,295.0,247.5,251.0,251.0,836
2006-06-12,250.0,250.0,220.0,235.0,235.0,832
2006-06-19,244.0,244.0,229.0,235.0,235.0,240
2006-06-26,244.0,244.0,211.5,227.0,227.0,2776
2006-07-03,227.0,230.0,210.0,219.0,219.0,700
2006-07-10,212.5,212.5,180.0,186.5,186.5,830
2006-07-17,180.0,191.5,168.5,168.5,168.5,420
2006-07-24,167.5,167.5,125.5,154.5,154.5,5956
2006-07-31,187.0,187.0,155.0,164.0,164.0,1216
2006-08-07,164.0,172.5,151.0,160.0,160.0,564
2006-08-14,161.0,161.5,145.0,154.0,154.0,13118
2006-08-21,150.0,153.0,147.5,148.0,148.0,1424
2006-08-28,142.5,150.0,136.0,145.0,145.0,888
2006-09-04,150.0,151.0,135.0,142.0,142.0,464
2006-09-11,145.0,146.5,132.5,141.5,141.5,296
2006-09-18,150.5,150.5,120.5,122.0,122.0,5324
2006-09-25,126.0,126.0,104.0,115.5,115.5,11226
2006-10-02,122.5,122.5,100.0,118.5,118.5,2312
2006-10-09,125.0,179.0,125.0,170.0,170.0,15578
2006-10-16,166.5,167.5,152.0,156.0,156.0,2662
2006-10-23,151.0,158.0,137.0,155.5,155.5,1934
2006-10-30,164.0,166.5,155.0,165.0,165.0,1926
2006-11-06,165.0,187.5,164.0,176.0,176.0,5832
2006-11-13,178.0,178.0,150.5,151.0,151.0,1682
2006-11-20,150.0,152.0,145.5,150.0,150.0,610
2006-11-27,153.5,154.5,140.5,152.5,152.5,2076
2006-12-04,152.5,170.0,140.0,159.0,159.0,2324
2006-12-11,156.5,164.0,155.0,158.0,158.0,466
2006-12-18,155.0,156.5,142.5,149.5,149.5,618
2006-12-25,145.5,148.0,102.5,137.0,137.0,1566
2007-01-01,145.0,179.0,135.0,164.0,164.0,3432
2007-01-08,164.0,171.0,147.5,170.0,170.0,5354
2007-01-15,191.5,214.0,183.5,205.0,205.0,17146
2007-01-22,229.0,249.5,215.0,243.0,243.0,11786
2007-01-29,240.5,242.5,199.0,208.5,208.5,8854
2007-02-05,217.5,220.5,210.0,212.5,212.5,2944
2007-02-12,210.0,215.0,198.5,208.0,208.0,3952
2007-02-19,205.0,205.0,184.0,198.0,198.0,3414
2007-02-26,200.0,220.0,197.5,210.5,210.5,7690
2007-03-05,207.5,216.5,197.5,205.5,205.5,2474
2007-03-12,203.5,208.5,195.0,202.5,202.5,942
2007-03-19,197.5,205.0,195.5,200.5,200.5,1834
2007-03-26,200.0,201.0,190.5,199.5,199.5,2956
2007-04-02,198.5,198.5,187.5,197.0,197.0,2042
2007-04-09,197.5,199.0,178.5,182.0,182.0,1396
2007-04-16,181.0,184.5,171.5,180.0,180.0,3404
2007-04-23,182.5,196.5,179.0,189.5,189.5,4166
2007-04-30,193.5,208.5,189.0,195.0,195.0,4798
2007-05-07,193.5,193.5,178.5,187.0,187.0,1784
2007-05-14,183.5,191.0,175.0,179.0,179.0,1778
2007-05-21,177.5,194.5,172.5,183.5,183.5,4192
2007-05-28,182.5,185.0,177.0,179.0,179.0,1910
2007-06-04,176.0,182.5,117.5,124.0,124.0,40010
2007-06-11,122.5,140.0,113.0,132.0,132.0,16412
2007-06-18,130.0,135.0,118.5,126.5,126.5,6468
2007-06-25,120.5,133.5,116.0,129.0,129.0,2646
2007-07-02,126.5,137.5,122.5,126.5,126.5,1546
2007-07-09,126.5,130.0,116.0,127.5,127.5,2958
2007-07-16,124.5,124.5,115.0,119.5,119.5,1402
2007-07-23,118.5,125.5,109.0,109.0,109.0,1462
2007-07-30,110.5,113.0,89.5,91.5,91.5,5314
2007-08-06,94.0,103.5,75.0,83.5,83.5,3866
2007-08-13,83.0,85.0,55.0,62.5,62.5,10636
2007-08-20,59.5,76.5,57.5,75.0,75.0,6614
2007-08-27,75.0,78.5,70.0,74.5,74.5,2836
2007-09-03,71.5,72.5,59.0,67.5,67.5,14870
2007-09-10,67.5,137.5,67.5,115.5,115.5,64212
2007-09-17,115.0,118.0,98.5,100.5,100.5,9300
2007-09-24,99.0,104.0,83.0,102.5,102.5,8418
2007-10-01,102.5,102.5,86.0,94.0,94.0,9836
2007-10-08,95.0,95.0,82.5,82.5,82.5,2216
2007-10-15,83.0,86.0,75.0,80.0,80.0,2322
2007-10-22,78.0,98.0,75.5,90.0,90.0,6408
2007-10-29,91.0,100.0,82.5,95.0,95.0,5876
2007-11-05,92.5,104.5,85.0,95.0,95.0,8572
2007-11-12,99.5,105.0,90.5,98.5,98.5,8004
2007-11-19,99.0,103.0,87.5,90.0,90.0,5948
2007-11-26,90.0,111.5,79.0,100.0,100.0,19638
2007-12-03,101.5,110.5,92.5,102.0,102.0,20384
2007-12-10,100.0,104.0,93.0,97.5,97.5,3704
2007-12-17,97.5,127.0,92.5,115.5,115.5,10122
2007-12-24,118.0,136.5,113.0,134.5,134.5,9768
2007-12-31,125.0,165.0,125.0,157.5,157.5,21932
2008-01-07,153.0,172.0,140.0,171.5,171.5,21048
2008-01-14,174.5,174.5,145.0,151.5,151.5,10950
2008-01-21,139.0,166.5,135.0,159.0,159.0,9466
2008-01-28,161.5,193.0,155.5,190.0,190.0,18946
2008-02-04,183.5,200.0,177.0,185.5,185.5,20848
2008-02-11,189.0,206.5,183.0,189.0,189.0,14668
2008-02-18,193.0,199.0,184.5,190.0,190.0,7934
2008-02-25,190.0,219.5,187.0,209.0,209.0,12844
2008-03-03,205.5,210.0,179.0,195.0,195.0,12570
2008-03-10,189.5,193.0,150.0,168.0,168.0,14964
2008-03-17,158.5,164.0,143.5,159.5,159.5,8736
2008-03-24,158.5,170.0,135.5,149.5,149.5,6086
2008-03-31,145.0,170.0,137.5,167.5,167.5,7822
2008-04-07,173.0,186.0,164.0,177.0,177.0,6208
2008-04-14,180.0,180.0,156.0,168.5,168.5,4140
2008-04-21,170.5,186.5,160.5,173.5,173.5,2098
2008-04-28,173.5,196.5,157.5,193.0,193.0,5722
2008-05-05,192.5,192.5,170.5,178.5,178.5,1926
2008-05-12,181.0,191.5,169.5,170.0,170.0,2580
2008-05-19,172.5,175.0,148.0,155.0,155.0,6158
2008-05-26,147.5,155.0,146.5,151.5,151.5,3534
2008-06-02,150.5,175.0,145.0,174.5,174.5,6534
2008-06-09,168.0,172.5,151.5,167.5,167.5,2396
2008-06-16,165.0,172.0,155.0,157.5,157.5,1950
2008-06-23,155.5,180.0,155.5,171.5,171.5,6602
2008-06-30,176.5,192.0,166.0,170.0,170.0,20488
2008-07-07,165.0,174.5,156.0,164.5,164.5,5214
2008-07-14,169.0,177.5,147.5,175.0,175.0,4134
2008-07-21,175.0,188.5,170.5,183.5,183.5,4090
2008-07-28,178.0,189.0,173.0,184.0,184.0,2588
2008-08-04,180.5,197.5,176.0,188.0,188.0,6106
2008-08-11,183.5,208.0,180.0,200.0,200.0,15156
2008-08-18,195.5,212.5,185.0,212.5,212.5,6854
2008-08-25,205.5,228.5,205.5,225.5,225.5,10884
2008-09-01,225.0,248.0,211.0,227.5,227.5,9252
2008-09-08,228.0,229.5,191.5,199.5,199.5,10594
2008-09-15,189.5,195.0,150.5,189.5,189.5,11580
2008-09-22,189.5,192.5,173.5,179.0,179.0,2512
2008-09-29,176.0,183.5,160.0,173.0,173.0,3160
2008-10-06,148.0,162.5,81.5,99.0,99.0,12848
2008-10-13,107.0,142.5,97.5,119.5,119.5,6102
2008-10-20,120.0,129.0,112.5,115.0,115.0,3376
2008-10-27,123.0,123.0,102.5,111.5,111.5,4048
2008-11-03,104.5,145.0,95.0,125.5,125.5,7228
2008-11-10,124.5,145.0,105.0,142.5,142.5,10880
2008-11-17,138.0,138.0,2.5,4.0,4.0,963984
2008-11-24,4.5,4.5,3.0,4.0,4.0,111856
2008-12-01,4.5,5.5,3.0,3.5,3.5,100652
2008-12-08,3.5,3.5,2.0,2.0,2.0,142642
2008-12-15,2.0,5.0,2.0,3.0,3.0,222834
2008-12-22,3.0,3.5,3.0,3.5,3.5,32148
2008-12-29,3.5,3.5,2.5,3.0,3.0,78830
2009-01-05,3.5,4.5,2.5,4.0,4.0,110214
2009-01-12,4.5,4.5,3.5,4.0,4.0,64026
2009-01-19,4.0,4.0,3.0,4.0,4.0,26058
2009-01-26,4.0,7.0,3.5,4.5,4.5,124246
2009-02-02,4.5,5.5,3.5,4.0,4.0,49530
2009-02-09,4.0,5.0,4.0,4.5,4.5,29774
2009-02-16,4.0,4.5,3.5,4.5,4.5,9350
2009-02-23,4.5,4.5,3.5,4.0,4.0,8356
2009-03-02,4.0,4.5,3.5,3.5,3.5,12666
2009-03-09,4.0,4.5,2.5,3.5,3.5,24466
2009-03-16,3.0,7.0,3.0,5.5,5.5,60368
2009-03-23,6.0,10.0,5.0,8.0,8.0,75254
2009-03-30,8.5,8.5,6.5,7.0,7.0,29380
2009-04-06,7.5,7.5,5.5,6.5,6.5,24786
2009-04-13,7.0,7.5,2.5,3.5,3.5,149244
2009-04-20,3.5,4.5,3.5,4.0,4.0,50110
2009-04-27,4.0,4.0,3.0,4.0,4.0,26472
2009-05-04,3.5,4.5,3.5,4.0,4.0,42920
2009-05-11,12.5,16.0,7.5,8.0,8.0,143138
2009-05-18,12.0,13.0,9.5,12.0,12.0,50692
2009-05-25,13.5,15.5,13.0,13.5,13.5,17510
2009-06-01,14.5,15.0,11.0,12.5,12.5,12238
2009-06-08,14.0,14.5,11.5,12.5,12.5,7932
2009-06-15,12.0,14.5,12.0,13.0,13.0,5176
2009-06-22,13.0,14.0,11.5,12.5,12.5,4006
2009-06-29,12.0,12.5,10.0,10.0,10.0,3020
2009-07-06,10.0,10.5,9.0,10.0,10.0,5214
2009-07-13,10.0,10.0,8.5,8.5,8.5,2006
2009-07-20,8.5,9.0,8.5,9.0,9.0,3290
2009-07-27,9.0,10.5,8.0,8.5,8.5,5674
2009-08-03,8.0,9.5,8.0,8.5,8.5,2288
2009-08-10,8.5,9.0,8.0,8.5,8.5,7428
2009-08-17,8.0,9.0,8.0,8.0,8.0,1338
2009-08-24,8.5,9.0,8.0,8.0,8.0,2956
2009-08-31,8.0,9.0,8.0,9.0,9.0,2728
2009-09-07,9.0,9.5,8.5,8.5,8.5,1168
2009-09-14,8.5,9.0,7.5,8.0,8.0,6060
2009-09-21,8.0,8.5,7.0,8.0,8.0,1744
2009-09-28,7.5,8.0,7.0,7.5,7.5,1126
2009-10-05,7.0,7.5,6.0,7.0,7.0,2396
2009-10-12,6.5,7.0,6.5,6.5,6.5,5344
2009-10-19,6.5,7.0,6.5,6.5,6.5,1570
2009-10-26,6.5,6.5,6.5,6.5,6.5,720
2009-11-02,6.5,8.5,6.5,7.5,7.5,2692
2009-11-09,8.0,9.0,7.0,7.5,7.5,3044
2009-11-16,7.5,7.5,6.5,7.0,7.0,1690
2009-11-23,7.0,7.5,7.0,7.5,7.5,892
2009-11-30,7.0,7.5,6.5,6.5,6.5,2480
2009-12-07,6.5,6.5,6.0,6.0,6.0,1204
2009-12-14,6.0,6.0,6.0,6.0,6.0,494
2009-12-21,6.0,6.0,6.0,6.0,6.0,1822
2009-12-28,6.0,6.0,4.5,5.0,5.0,9850
2010-01-04,5.5,6.0,4.5,6.0,6.0,1498
2010-01-11,5.0,6.5,5.0,5.5,5.5,1112
2010-01-18,5.5,7.5,5.5,6.5,6.5,4080
2010-01-25,6.5,7.5,6.5,6.5,6.5,1016
2010-02-01,6.5,6.5,6.0,6.0,6.0,420
2010-02-08,6.0,6.0,6.0,6.0,6.0,1490
2010-02-15,6.0,7.0,6.0,6.0,6.0,892
2010-02-22,6.0,6.5,6.0,6.5,6.5,224
2010-03-01,6.5,6.5,5.0,6.0,6.0,2028
2010-03-08,5.5,6.5,5.5,6.5,6.5,1068
2010-03-15,6.0,6.5,5.5,6.5,6.5,3326
2010-03-22,6.5,6.5,5.5,5.5,5.5,1820
2010-03-29,5.5,5.5,5.5,5.5,5.5,458
2010-04-05,5.5,6.0,5.5,5.5,5.5,764
2010-04-12,5.5,6.5,5.5,5.5,5.5,436
2010-04-19,5.5,5.5,5.5,5.5,5.5,918
2010-04-26,5.5,6.5,5.5,5.5,5.5,998
2010-05-03,5.5,5.5,4.0,5.0,5.0,8932
2010-05-10,4.5,4.5,3.5,3.5,3.5,3812
2010-05-17,3.5,4.0,3.5,4.0,4.0,1148
2010-05-24,3.5,3.5,3.0,3.0,3.0,4856
2010-05-31,3.0,4.0,3.0,3.0,3.0,74
2010-06-07,3.0,3.0,3.0,3.0,3.0,6
2010-06-14,3.5,3.5,3.0,3.5,3.5,342
2010-06-21,3.5,4.0,3.5,3.5,3.5,568
