Date,Open,High,Low,Close,Adj Close,Volume
2010-07-26,33120.0,33720.0,29400.0,30000.0,30000.0,0
2010-08-02,32400.0,32400.0,27960.0,28680.0,28680.0,4
2010-08-09,27960.0,31200.0,19800.0,28800.0,28800.0,3
2010-08-16,28200.0,30000.0,16920.0,16920.0,16920.0,4
2010-08-23,18000.0,22200.0,15600.0,18000.0,18000.0,4
2010-08-30,18120.0,22560.0,17400.0,19200.0,19200.0,2
2010-09-06,19080.0,25200.0,15000.0,22200.0,22200.0,6
2010-09-13,24000.0,40200.0,22200.0,34800.0,34800.0,204
2010-09-20,33000.0,43200.0,33000.0,35640.0,35640.0,62
2010-09-27,35640.0,39600.0,35520.0,37200.0,37200.0,17
2010-10-04,37200.0,37200.0,32640.0,36600.0,36600.0,11
2010-10-11,36480.0,36600.0,32400.0,34080.0,34080.0,7
2010-10-18,35160.0,35880.0,22920.0,25320.0,25320.0,15
2010-10-25,25200.0,29880.0,22800.0,27000.0,27000.0,9
2010-11-01,27600.0,30480.0,24720.0,30000.0,30000.0,4
2010-11-08,29760.0,29760.0,25920.0,26400.0,26400.0,4
2010-11-15,27000.0,30120.0,24600.0,27840.0,27840.0,3
2010-11-22,26040.0,28800.0,24960.0,27000.0,27000.0,1
2010-11-29,25920.0,28800.0,24960.0,26400.0,26400.0,4
2010-12-06,26400.0,29040.0,24960.0,29040.0,29040.0,8
2010-12-13,28320.0,32880.0,27840.0,30960.0,30960.0,7
2010-12-20,31680.0,31680.0,27600.0,27600.0,27600.0,0
2010-12-27,28560.0,33000.0,27600.0,28560.0,28560.0,5
2011-01-03,27840.0,29160.0,25200.0,25920.0,25920.0,5
2011-01-10,27000.0,27240.0,20760.0,23880.0,23880.0,9
2011-01-17,24000.0,24000.0,21120.0,22320.0,22320.0,1
2011-01-24,21720.0,24960.0,19800.0,20280.0,20280.0,1
2011-01-31,21480.0,27480.0,19440.0,23280.0,23280.0,8
2011-02-07,25320.0,25440.0,21240.0,22560.0,22560.0,3
2011-02-14,22920.0,26160.0,22920.0,23640.0,23640.0,3
2011-02-21,22560.0,22560.0,21000.0,21720.0,21720.0,0
2011-02-28,20400.0,24360.0,20160.0,22200.0,22200.0,2
2011-03-07,22800.0,39600.0,20520.0,21960.0,21960.0,86
2011-03-14,22320.0,22320.0,18720.0,20520.0,20520.0,7
2011-03-21,21600.0,21600.0,18240.0,19560.0,19560.0,8
2011-03-28,19560.0,21240.0,17160.0,19200.0,19200.0,5
2011-04-04,18840.0,20160.0,17400.0,18240.0,18240.0,8
2011-04-11,18240.0,20280.0,17400.0,17400.0,17400.0,1
2011-04-18,17520.0,20160.0,15840.0,16800.0,16800.0,7
2011-04-25,17160.0,20520.0,14520.0,20040.0,20040.0,11
2011-05-02,21600.0,28800.0,21000.0,27000.0,27000.0,63
2011-05-09,28320.0,31800.0,24120.0,25200.0,25200.0,32
2011-05-16,24000.0,25440.0,19560.0,24120.0,24120.0,21
2011-05-23,24480.0,27240.0,22200.0,22560.0,22560.0,15
2011-05-30,22680.0,23280.0,17400.0,18600.0,18600.0,14
2011-06-06,18720.0,19680.0,18120.0,19200.0,19200.0,8
2011-06-13,19200.0,19680.0,16800.0,17160.0,17160.0,5
2011-06-20,17400.0,18600.0,15240.0,15600.0,15600.0,6
2011-06-27,15360.0,16080.0,12000.0,15000.0,15000.0,31
2011-07-04,15000.0,16440.0,14400.0,15120.0,15120.0,10
2011-07-11,15000.0,15000.0,13800.0,14400.0,14400.0,3
2011-07-18,14400.0,17760.0,14160.0,16680.0,16680.0,6
2011-07-25,16800.0,26400.0,15600.0,20160.0,20160.0,142
2011-08-01,20640.0,31560.0,18600.0,19560.0,19560.0,309
2011-08-08,17760.0,21840.0,16440.0,18480.0,18480.0,30
2011-08-15,18720.0,21120.0,17640.0,17640.0,17640.0,15
2011-08-22,17400.0,17400.0,15600.0,16080.0,16080.0,5
2011-08-29,16320.0,17640.0,15600.0,15840.0,15840.0,4
2011-09-05,15840.0,16440.0,15600.0,16200.0,16200.0,1
2011-09-12,16560.0,17280.0,15600.0,15960.0,15960.0,2
2011-09-19,15720.0,15840.0,13320.0,13680.0,13680.0,5
2011-09-26,13800.0,20400.0,13680.0,17040.0,17040.0,23
2011-10-03,17040.0,22680.0,15000.0,18360.0,18360.0,14
2011-10-10,18360.0,20280.0,16320.0,17400.0,17400.0,13
2011-10-17,17280.0,18960.0,16560.0,16800.0,16800.0,7
2011-10-24,17040.0,19800.0,13920.0,16560.0,16560.0,15
2011-10-31,16560.0,20400.0,15720.0,16200.0,16200.0,15
2011-11-07,16320.0,18120.0,15000.0,17160.0,17160.0,5
2011-11-14,16680.0,19200.0,15840.0,17040.0,17040.0,18
2011-11-21,16800.0,17400.0,16200.0,16200.0,16200.0,1
2011-11-28,16200.0,18240.0,15360.0,16080.0,16080.0,8
2011-12-05,18240.0,18240.0,14160.0,14880.0,14880.0,7
2011-12-12,14400.0,17160.0,12120.0,13080.0,13080.0,15
2011-12-19,13320.0,15480.0,12360.0,12360.0,12360.0,23
2011-12-26,12000.0,12600.0,11760.0,11880.0,11880.0,12
2012-01-02,11880.0,13080.0,10200.0,11280.0,11280.0,19
2012-01-09,11280.0,13800.0,9240.0,11760.0,11760.0,18
